id,title,content,category,tags,source,created_at
16,Automations,"A comprehensive suite of AI-powered automation tools for content creation, research, and workflow optimization.",AI/Automation,"analysis, ai, seo, research, content, optimization, automation, tool",phase2_intelligent_organization_Automations,2026-01-17 01:11:24
17,notebooklm-categorizer-main,**NotebookLM Categorizer** is a browser extension that adds smart **category filter buttons** to the [NotebookLM](https://notebooklm.google.com/) list. It detects titles and automatically groups them ,General,,phase2_intelligent_organization_notebooklm-categorizer-main,2026-01-17 01:11:24
18,tiny-openai-whisper-api-main,"Based on https://github.com/morioka/tiny-openai-whisper-api, using `whisper-mlx` instead of `openai-whisper`",AI/Automation,"api, ai",phase2_intelligent_organization_tiny-openai-whisper-api-main,2026-01-17 01:11:24
19,Personal,,General,,phase2_intelligent_organization_Personal,2026-01-17 01:11:24
20,ComicBook-AI-main,"This app uses React-Vite along with Firestore and Firebase Hosting. The main idea of this app is to generate custom images based on user-prompts to craft unique comic book strips, this is achieved usi",AI/Automation,ai,phase2_intelligent_organization_ComicBook-AI-main,2026-01-17 01:11:24
21,KnowNote-main,"> A local-first, open-source alternative to Google NotebookLM",General,,phase2_intelligent_organization_KnowNote-main,2026-01-17 01:11:24
22,lyra-exporter-main,[**阅读中文文档**](https://github.com/Yalums/lyra-exporter/blob/main/README_zh.md),AI/Automation,ai,phase2_intelligent_organization_lyra-exporter-main,2026-01-17 01:11:24
23,fonts,PDF导出功能需要以下 **ARUDJingxihei (阿如汉字黑体)** 字体文件：,General,,phase2_intelligent_organization_fonts,2026-01-17 01:11:24
24,src,,General,,phase2_intelligent_organization_src,2026-01-17 01:11:24
25,fileParser,,General,,phase2_intelligent_organization_fileParser,2026-01-17 01:11:24
26,data,,General,,phase2_intelligent_organization_data,2026-01-17 01:11:24
27,self-hosted-ai-starter-kit-main,**Self-hosted AI Starter Kit** is an open-source Docker Compose template designed to swiftly initialize a comprehensive local AI and low-code development environment.,AI/Automation,"ai, code",phase2_intelligent_organization_self-hosted-ai-starter-kit-main,2026-01-17 01:11:24
28,notebooklm-mcp-secure-main,**Zero-hallucination answers • Gemini Deep Research • 14 Security Layers • Enterprise Compliance**,Research/Analysis,"analysis, research",phase2_intelligent_organization_notebooklm-mcp-secure-main,2026-01-17 01:11:24
29,cobber-ml-synthesizer-main,"In an alternate universe called **Cobberland**, all matter is composed of substances known as **kernels**. Each kernel is characterized by three properties:",General,,phase2_intelligent_organization_cobber-ml-synthesizer-main,2026-01-17 01:11:24
30,cobber-ml-synthesizer,,General,,phase2_intelligent_organization_cobber-ml-synthesizer,2026-01-17 01:11:24
31,Comicfy.ai-main,Bring your stories to life using Comicfy.ai!,AI/Automation,ai,phase2_intelligent_organization_Comicfy.ai-main,2026-01-17 01:11:24
32,server,,General,,phase2_intelligent_organization_server,2026-01-17 01:11:24
33,client,This project was bootstrapped with [Create React App](https://github.com/facebook/create-react-app).,General,,phase2_intelligent_organization_client,2026-01-17 01:11:24
34,src,,General,,phase2_intelligent_organization_src,2026-01-17 01:11:24
35,notebooklm-anki-extension-main,This Chrome extension bridges the gap between Google NotebookLM and Anki. It automatically extracts multiple-choice quizzes generated by NotebookLM and exports them directly into Anki decks with a sin,General,,phase2_intelligent_organization_notebooklm-anki-extension-main,2026-01-17 01:11:24
36,NotebookLM-Examples-main,This repository contains examples and documentation demonstrating the potential use of Google’s NotebookLM for enhancing educational experiences at a university level. As part of a consulting evaluati,AI/Automation,ai,phase2_intelligent_organization_NotebookLM-Examples-main,2026-01-17 01:11:24
37,notebookLM-citation-main,A Chrome extension that automatically maps citation numbers to source filenames in Google NotebookLM and allows you to copy chat text with preserved citations.,General,,phase2_intelligent_organization_notebookLM-citation-main,2026-01-17 01:11:24
38,extension,A Chrome extension that preserves citation references when copying chat text from Google NotebookLM.,General,,phase2_intelligent_organization_extension,2026-01-17 01:11:24
39,notebooklm_exporter-main,A Chrome extension that exports NotebookLM chat conversations to Markdown format.,General,,phase2_intelligent_organization_notebooklm_exporter-main,2026-01-17 01:11:24
40,versatile_bot_project-main,Shun Tsukamoto,General,,phase2_intelligent_organization_versatile_bot_project-main,2026-01-17 01:11:24
41,Awesome-LLM-main,![](resources/image8.gif),General,,phase2_intelligent_organization_Awesome-LLM-main,2026-01-17 01:11:24
42,youtube-enhancer_merged_deduped,This folder is a clean merge of 8 uploaded ZIPs (`youtube-enhancer(1..8).zip`) with duplicates removed.,Content Creation,,phase2_intelligent_organization_youtube-enhancer_merged_deduped,2026-01-17 01:11:24
43,open-video-overview-main,An open-source alternative to [NotebookLM's Video Overview](https://notebooklm.google.com). Built with [Mastra](https://mastra.ai) to create narrated videos from text using AI-generated images (Gemini,AI/Automation,ai,phase2_intelligent_organization_open-video-overview-main,2026-01-17 01:11:24
44,axolotl-main,<picture>,General,,phase2_intelligent_organization_axolotl-main,2026-01-17 01:11:24
45,devtools,,General,,phase2_intelligent_organization_devtools,2026-01-17 01:11:24
46,smolvlm2,"[SmolVLM2](https://huggingface.co/collections/HuggingFaceTB/smolvlm2-smallest-video-lm-ever-67ab6b5e84bf8aaa60cb17c7) are a family of lightweight, open-source multimodal models from HuggingFace design",Content Creation,,phase2_intelligent_organization_smolvlm2,2026-01-17 01:11:24
47,gpt-oss,"[GPT-OSS](https://huggingface.co/collections/openai/gpt-oss-68911959590a1634ba11c7a4) are a family of open-weight MoE models trained by OpenAI, released in August 2025. There are two variants: 20B and",AI/Automation,"oss, gpt, ai",phase2_intelligent_organization_gpt-oss,2026-01-17 01:11:24
48,olmo3,[Olmo 3](https://huggingface.co/collections/allenai/olmo-3) are a family of 7B and 32B models open source models trained by The Allen Institute for Artificial Intelligence.,AI/Automation,"intelligence, ai",phase2_intelligent_organization_olmo3,2026-01-17 01:11:24
49,LiquidAI,"[Liquid Foundation Models 2 (LFM2)](https://huggingface.co/collections/LiquidAI/lfm2-686d721927015b2ad73eaa38) are a family of small, open-weight models from [Liquid AI](https://www.liquid.ai/) focuse",AI/Automation,ai,phase2_intelligent_organization_LiquidAI,2026-01-17 01:11:24
